-1.4211e-14,11.822
1.6537,31.137
5.029,50.207
8.512,69.325
13.18,87.781
21.657,104.64
34.653,116.61
49.691,125.45
66.079,128
82.211,124.9
95.997,114.43
109.63,103.78
118.62,87.94
123.39,69.566
126.01,50.847
127.42,31.776
128,12.749
14.087,5.0106
21.732,2.2773
29.714,2.4223
37.643,2.9398
45.628,2.9638
80.348,3.4204
88.321,1.1063
96.462,0
104.65,0.38374
112.64,2.2644
62.205,17.231
62.197,28.839
62.55,40.474
63.042,52.003
51.772,62.628
58.032,65.861
64.742,67.09
71.533,65.79
77.653,62.247
27.944,19.367
33.685,15.34
40.202,13.974
46.104,17.137
40.362,19.855
34.133,19.931
81.213,14.936
88.286,13.255
95.375,14.467
101.8,18.133
94.712,18.567
87.707,17.938
42.428,86.713
49.34,82.539
57.198,82.017
64.931,83.489
72.384,82.615
79.735,83.851
86.755,86.752
80.147,91.698
72.936,95.242
65.207,95.515
57.21,94.196
49.822,90.27
46.186,86.311
55.675,85.475
65.067,86.403
74.374,85.838
83.587,87.033
74.237,87.252
64.989,87.688
55.56,86.963
