-1.4211e-14,17.82
0.68115,35.762
2.6263,53.494
4.1684,71.118
7.6747,88.559
17.618,103.45
29.354,116.98
44.622,126.06
62.393,128
79.916,125.04
94.467,115.01
106.71,102.06
116.24,87.35
120.14,70.051
123.17,52.66
126.35,35.312
128,17.9
6.5723,5.9059
14.668,1.3235
23.821,0
32.976,1.4584
42.111,2.9563
76.485,4.1925
84.201,1.9241
92.13,0.83234
100.15,0.76877
108.01,2.2372
60.675,17.663
61.117,27.337
61.458,36.894
61.839,46.471
47.905,59.905
54.326,61.117
60.805,61.02
66.668,60.67
72.316,59.243
18.147,19.01
27.156,13.713
37.486,14.369
44.468,21.743
35.368,24.731
25.992,24.121
77.492,20.849
84.526,13.003
95.224,12.387
104,18.317
95.771,22.33
86.544,22.555
38.306,82.566
44.894,77.414
52.527,73.993
60.546,75.247
68.337,73.421
75.898,76.526
83.452,79.689
77.033,84.687
69.326,87.271
61.257,87.944
53.235,87.701
45.405,86.052
42.873,81.718
51.576,80.395
60.292,79.966
68.727,79.376
77.038,79.858
68.597,79.748
60.316,80.358
51.498,80.769
