-1.4211e-14,20.704
1.0043,38.94
1.9294,57.245
4.1261,75.192
8.8512,92.633
18.219,107.63
31.529,118.9
47.168,125.47
63.658,128
80.659,125.85
96.999,119.56
111.58,110.07
120.55,94.377
125.87,76.659
128,58.126
127.4,39.477
126.36,20.989
9.0141,5.9337
18.802,0.96186
29.603,1.2882
40.273,3.5203
50.895,6.1126
66.302,6.0275
78.494,4.0035
90.364,1.144
102.6,7.1054e-15
113.07,5.8844
61.298,12.25
60.444,25.791
60.331,39.33
60.036,52.756
45.73,57.827
53.087,59.403
60.512,59.68
68.184,58.787
75.71,57.087
18.347,21.857
28.029,18.053
38.272,17.188
47.245,22.136
37.496,22.732
27.854,23.369
73.555,22.607
83.058,17.896
93.443,16.794
103.14,20.55
93.486,23.112
83.488,22.802
39.69,79.012
44.635,70.832
53.041,66.961
62.022,67.634
71.009,66.961
79.155,71.22
85.247,78.452
79.172,86.661
70.194,90.952
60.535,91.549
51.996,90.959
44.499,86.549
45.055,78.062
50.441,77.814
61.135,78.869
73.244,77.516
79.228,77.39
73.105,77.682
61.072,79.018
50.304,77.942
